"age","sex","quantile","value","unit","lab"
24,"female",0.75,8.18405984419263,"x10E3/uL","WBC"
24,"female",0.85,9.09241980088496,"x10E3/uL","WBC"
24,"female",0.9,9.78405956112852,"x10E3/uL","WBC"
24,"female",0.97,11.9835420560748,"x10E3/uL","WBC"
24,"female",0.99,14.5906973684211,"x10E3/uL","WBC"
24,"female",1,NA,"x10E3/uL","WBC"
25,"female",0,NA,"x10E3/uL","WBC"
25,"female",0.01,3.30131666666667,"x10E3/uL","WBC"
25,"female",0.03,3.89679578544061,"x10E3/uL","WBC"
25,"female",0.1,4.72366138613862,"x10E3/uL","WBC"
25,"female",0.15,5.08004058338618,"x10E3/uL","WBC"
25,"female",0.25,5.65407142857143,"x10E3/uL","WBC"
25,"female",0.35,6.08779357175192,"x10E3/uL","WBC"
25,"female",0.5,6.79103152977812,"x10E3/uL","WBC"
25,"female",0.65,7.57098243243243,"x10E3/uL","WBC"
25,"female",0.75,8.18417521994135,"x10E3/uL","WBC"
25,"female",0.85,9.09519137168142,"x10E3/uL","WBC"
25,"female",0.9,9.78981818181818,"x10E3/uL","WBC"
25,"female",0.97,12.0101857142857,"x10E3/uL","WBC"
25,"female",0.99,14.492336,"x10E3/uL","WBC"
25,"female",1,NA,"x10E3/uL","WBC"
26,"female",0,NA,"x10E3/uL","WBC"
26,"female",0.01,3.28383863636364,"x10E3/uL","WBC"
26,"female",0.03,3.89101717171717,"x10E3/uL","WBC"
26,"female",0.1,4.6825698757764,"x10E3/uL","WBC"
26,"female",0.15,5.07101658476659,"x10E3/uL","WBC"
26,"female",0.25,5.58311237062592,"x10E3/uL","WBC"
26,"female",0.35,6.07593419236079,"x10E3/uL","WBC"
26,"female",0.5,6.78120958083832,"x10E3/uL","WBC"
26,"female",0.65,7.49168429003021,"x10E3/uL","WBC"
26,"female",0.75,8.09872975708502,"x10E3/uL","WBC"
26,"female",0.85,8.99610074626866,"x10E3/uL","WBC"
26,"female",0.9,9.68636612021858,"x10E3/uL","WBC"
26,"female",0.97,11.8897689655172,"x10E3/uL","WBC"
26,"female",0.99,14.52955,"x10E3/uL","WBC"
26,"female",1,NA,"x10E3/uL","WBC"
27,"female",0,NA,"x10E3/uL","WBC"
27,"female",0.01,3.28169266055046,"x10E3/uL","WBC"
27,"female",0.03,3.89003281853282,"x10E3/uL","WBC"
27,"female",0.1,4.67627836611195,"x10E3/uL","WBC"
