week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",875,327.304,315,64.2645654006368,29.9490867579909,27.6188356164384,32.3570776255708,24.1681995391846,21.2459745407104,28.1234250068665,281,357,0.536372598069055,0.542666018009186,0.292258620262146,0.774436622858048
"[-59,-58)",904,325.879646031202,311,62.4014691635039,29.9369292237443,27.67899543379,32.2234874429224,23.2733497619629,20.5691747665405,26.8038501739502,281,353,0.530968004050541,0.524853378534317,0.297804966568947,0.760482385754585
"[-58,-57)",863,330.381228273465,315,64.7753710598202,30.096803652968,27.840696347032,32.2997716894977,23.0111999511719,20.6868500709534,27.5354499816895,284,361,0.552215251147851,0.550372004508972,0.31146565079689,0.790099203586578
"[-57,-56)",919,329.082698585419,316,64.0751721424487,30.215296803653,27.8311643835616,32.6727168949772,23.1404991149902,20.4491004943848,27.3437995910645,282,359,0.544625080023387,0.546741545200348,0.307630628347397,0.789612472057343
"[-56,-55)",881,333.793757080355,318,68.887441103489,30.025799086758,27.6859589041096,32.0474885844749,23.0517997741699,20.4088244438171,27.3791246414185,284,365,0.559453506728848,0.574433743953705,0.322334259748459,0.811350762844086
"[-55,-54)",898,328.842538982298,316,66.9602763736707,30.2079337899543,27.867551369863,32.4831050228311,22.6606249809265,20.6926250457764,26.7221751213074,281,359,0.539567790751269,0.551835834980011,0.299514837563038,0.774852573871613
"[-54,-53)",976,333.059733625318,318,69.9344678350413,30.0352168949772,27.6367579908676,32.4536815068493,23.7292499542236,20.9892497062683,27.1256251335144,284,368,0.553842055638031,0.567636728286743,0.317136645317078,0.812907487154007
"[-53,-52)",950,328.955789473684,316,65.2724422779252,30.2176940639269,27.8257705479452,32.4738584474886,23.711799621582,20.2019996643066,27.471399307251,282,361,0.54177796913605,0.550864011049271,0.302287302911282,0.789923250675201
"[-52,-51)",853,332.344314199539,319,67.508820205758,30.1593607305936,27.6898401826484,32.3243150684932,23.8515996932983,20.8325004577637,27.8225994110107,282,365,0.55548267499713,0.569693028926849,0.30878022313118,0.80455619096756
"[-51,-50)",853,329.837631887456,316,64.9299348089274,30.0473744292238,27.6091324200913,32.2391552511416,24.0637998580933,20.7031002044678,27.5439505577087,283,360,0.547309718973681,0.556565046310425,0.31146565079689,0.789527952671051
"[-50,-49)",868,329.063248840895,316.5,62.2486654599735,30.051598173516,27.7056221461187,32.3007134703196,23.0290498733521,20.6072745323181,26.6389503479004,284,358,0.550079949028481,0.561018288135529,0.323858246207237,0.7840676009655
"[-49,-48)",891,328.166666666667,313,65.7304890519707,30.2833333333333,28.0269406392694,32.6420091324201,23.1257991790772,20.3771243095398,27.4144744873047,281,361,0.535843397982996,0.526097476482391,0.300393372774124,0.791733145713806
"[-48,-47)",891,328.94051627385,316,63.6701634687524,29.9901826484018,27.9424086757991,32.2186643835616,23.2334995269775,21.09672498703,27.0518002510071,282,360.5,0.545804938884697,0.55329966545105,0.307064443826675,0.78629669547081
