week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",3174,29.165374907594,30,7.02141292373812,29.8943493150685,27.6693207762557,32.2775970319635,23.8281002044678,20.9571990966797,27.7876877784729,24.5,34.5999984741211,0.373636929506393,0.355586692690849,0.144594807177782,0.589076027274132
"[-59,-58)",3263,29.0918479540068,29.7999992370606,6.92862494681823,29.9162100456621,27.6174086757991,32.2241438356164,23.4375,20.8358252048492,27.9134938716888,24.6000003814697,34.5,0.369261219213313,0.3455750644207,0.145961932837963,0.581371307373047
"[-58,-57)",3324,29.1104843289413,29.7999992370606,6.93432533434321,29.9273401826484,27.6222602739726,32.1216038812785,23.4961996078491,20.7966995239258,27.7825871706009,24.6000003814697,34.5,0.369919475839864,0.345545828342438,0.150644518435001,0.581622123718262
"[-57,-56)",3246,28.9951016700691,29.7000007629395,7.00874376505015,30.0356164383562,27.8261130136986,32.333904109589,23.4375,20.6252624988556,27.5579752922058,24.5,34.5,0.368137110343835,0.344104439020157,0.14458891749382,0.5852310359478
"[-56,-55)",3360,28.9463690564746,29.7999992370606,7.04671016513797,29.9557648401827,27.7475456621005,32.1873287671233,23.6340007781982,20.8312501907349,27.5482006072998,24.2999992370606,34.5999984741211,0.366394323075656,0.341779798269272,0.139269463717937,0.581434011459351
"[-55,-54)",3292,29.3428766794077,30,6.81242831719325,29.875,27.5848173515982,32.2569634703196,23.3726005554199,20.6889505386353,28.1221164067586,25,34.5999984741211,0.376649550738533,0.354274958372116,0.160673830658197,0.581829905509949
"[-54,-53)",3433,28.9672007125979,29.7000007629395,6.88266553481049,30.0695205479452,27.6561643835617,32.5243150684932,23.7359504699707,21.007474899292,27.8433003425598,24.5,34.2999992370606,0.365234817555372,0.341779798269272,0.141332924365997,0.568830728530884
"[-53,-52)",3450,29.1042753639774,30,7.00907303845355,30.0402397260274,27.8110730593607,32.3755422374429,23.3089008331299,20.5687999725342,27.471399307251,24.5,34.5,0.371914450264927,0.35022896528244,0.14646415412426,0.582922220230103
"[-52,-51)",3295,29.0395751109434,30,6.98735377548526,30.047602739726,27.7216324200913,32.3231735159817,23.6651992797852,21.082799911499,27.5454502105713,24.4499998092651,34.4500007629395,0.369679560970758,0.351679563522339,0.14310348033905,0.577552378177643
"[-51,-50)",3198,29.0759641219855,29.8999996185303,6.85864499970139,29.9135844748859,27.6836187214612,32.2367865296804,23.4375,20.6758499145508,27.9548001289368,24.6000003814697,34.4000015258789,0.368541272909406,0.351420104503632,0.14646415412426,0.568891525268555
"[-50,-49)",3338,29.3185290667452,30.2000007629395,6.92638885243554,30.1063926940639,27.8141552511416,32.3078767123288,23.4375,20.8079504966736,27.473024421268,25,34.7000007629395,0.379810162255353,0.369144678115845,0.157059118151665,0.585449695587158
"[-49,-48)",3364,29.2938466035228,30,6.95422881854018,30.1023401826484,27.8243150684932,32.3653253424658,23.9395008087158,20.8117008209229,27.8852005004883,25,34.7999992370606,0.379067403298673,0.360146433115006,0.158827234059572,0.589295566082001
"[-48,-47)",3383,29.2733815881299,30.1000003814697,6.79169951559599,29.9380136986301,27.7367579908676,32.2286529680365,23.4235992431641,20.712550163269,27.7793556451798,24.7999992370606,34.7000007629395,0.37474527343818,0.359382450580597,0.151272013783455,0.590600073337555
"[-47,-46)",3310,29.4781570951744,30.2000007629395,6.75898808604508,30.0033675799087,27.7502568493151,32.310901826484,23.4375,20.8877506256104,27.399299621582,25,34.7999992370606,0.383187901425675,0.373507231473923,0.158216021955013,0.59140008687973
"[-46,-45)",3397,29.528672361781,30.5,6.88082823907028,29.9932648401827,27.6972602739726,32.3706621004566,23.6234006881714,21.0222125053406,27.6439242362976,25,34.9000015258789,0.386385205634978,0.379253298044205,0.158945217728615,0.595817863941193
"[-45,-44)",3191,29.3490128593361,30,6.83996587868803,29.8639269406393,27.7549657534247,32.1448059360731,23.7240495681763,20.6371493339539,27.9731001853943,25.2000007629395,34.7999992370606,0.377687901969729,0.362663447856903,0.160702131688595,0.592646539211273
"[-44,-43)",3250,29.8877846180843,30.7999992370605,6.73461562636163,30.0314497716895,27.7517979452055,32.3763127853881,23.5121002197266,20.7966995239258,27.9603004455566,25.7999992370605,35,0.399222864628125,0.39919638633728,0.183426789939404,0.604507282376289
"[-43,-42)",3246,29.8982747745455,30.7000007629395,6.7680757324856,29.8940639269406,27.6756563926941,32.1653824200913,23.5924248695374,21.0937995910645,27.5220994949341,25.7999992370605,35.2000007629395,0.399031291291742,0.392899483442307,0.184460539370775,0.612794637680054
"[-42,-41)",3151,29.7948428804403,30.5,6.54358156989354,29.9132420091324,27.6110730593607,32.1809931506849,23.4375,20.7550501823425,28.1125001907349,25.7000007629395,35,0.390829673120578,0.377448111772537,0.174691930413246,0.596863687038422
"[-41,-40)",3028,29.9018659245228,30.5,6.57474275372073,29.9846461187215,27.6634703196347,32.3332191780822,23.7954006195068,21.0156002044678,28.0403995513916,26,35.0999984741211,0.396265393104884,0.382439851760864,0.18948695063591,0.607861876487732
"[-40,-39)",2949,30.231196994982,30.8999996185303,6.37725708251079,30.0119863013699,27.716894977169,32.2364155251142,23.7599506378174,20.9174003601074,28.0822749137878,26.2999992370606,35.2000007629395,0.406734602850798,0.39919638633728,0.199685230851173,0.612794637680054
"[-39,-38)",2911,29.9026622975335,30.7999992370605,6.56312556930448,30.0146118721461,27.6587328767123,32.1954337899543,23.7332000732422,20.9607992172241,27.7007999420166,25.7000007629395,35,0.396182722203614,0.394768118858337,0.180260822176933,0.59971085190773
"[-38,-37)",2893,29.6762703464718,30.3999996185303,6.51926060007161,29.8174657534247,27.6571917808219,32.2518264840183,23.4375,20.6611995697022,27.3376498222351,25.6000003814697,34.7000007629395,0.386625779893106,0.37703400850296,0.172601521015167,0.584261834621429
"[-37,-36)",4298,29.1391926220041,29.7000007629395,6.49164640896456,29.5817351598174,27.4325057077626,31.9195776255708,23.4375,20.8117008209229,27.6740665435791,24.8999996185303,34,0.362248086442468,0.339529454708099,0.151272013783455,0.551638603210449
"[-36,-35)",7618,28.7203596824422,29,6.26563914437883,29.5646689497717,27.4422374429224,31.8941210045662,22.8624000549316,20.572699546814,26.2917003631592,24.6000003814697,33.4000015258789,0.342409719554959,0.308873206377029,0.14497247338295,0.519688725471497
"[-35,-34)",11952,28.2116298391478,28.3999996185303,6.23666387437403,29.6666095890411,27.5626712328767,31.9680650684932,22.9853992462158,20.515100479126,26.4660997390747,24.1000003814697,32.7000007629395,0.323762638916086,0.282445698976517,0.132707506418228,0.489770799875259
"[-34,-33)",16761,27.3445677392829,27.3999996185303,6.07606634421708,29.7736301369863,27.6147260273973,32.0448630136986,22.9591007232666,20.5499000549316,26.4187335968018,23.1000003814697,31.7000007629395,0.291116713696408,0.239540189504623,0.109539523720741,0.439396411180496
"[-33,-32)",20607,26.5529431739089,26.2999992370606,6.02252873312422,29.8969178082192,27.6638698630137,32.1707762557078,22.8624000549316,20.5048999786377,26.6608834266663,22.25,30.8999996185303,0.263950150261951,0.201838627457619,0.0926886200904846,0.398066252470017
"[-32,-31)",22192,25.836314126996,25.6000003814697,5.95402190732092,29.964098173516,27.7612442922374,32.2549942922374,23.0517997741699,20.5499000549316,26.9274005889893,21.7000007629395,29.8999996185303,0.240627431895839,0.176165863871574,0.0814706459641457,0.351525634527206
"[-31,-30)",21690,25.5392715480263,25.2999992370606,5.93651972088163,30.0586757990868,27.7829052511416,32.3570776255708,23.3066997528076,20.7424001693726,27.3437995910645,21.3999996185303,29.5,0.231242526304612,0.167398244142532,0.0769657492637634,0.333978779613972
"[-30,-29)",19305,25.2847267522534,25,5.91629099636311,30.0337899543379,27.7844748858448,32.3380136986301,23.4089498519898,20.5888874530792,27.3669080734253,21.1000003814697,29.2999992370606,0.223425833633972,0.15840619802475,0.0728871300816536,0.32491073012352
"[-29,-28)",17235,25.0018905241708,24.7000007629395,5.89300958733045,30.0173515981735,27.716095890411,32.340696347032,23.711799621582,20.8324999809265,27.8941499710083,20.8999996185303,28.8999996185303,0.214488269940291,0.15031923353672,0.0698956921696663,0.306612491607666
"[-28,-27)",15055,24.6980405181636,24.3999996185303,5.85920103756383,30.0010273972603,27.6998287671233,32.3105593607306,23.7387008666992,20.7966995239258,28.0442247390747,20.6000003814697,28.6000003814697,0.205204896616546,0.141332924365997,0.0654729604721069,0.29220175743103
"[-27,-26)",13505,24.278167347871,23.8999996185303,5.85522321776384,29.9550228310502,27.6639269406393,32.311301369863,23.9361000061035,20.9571990966797,27.9421005249023,20.2000007629395,28.1000003814697,0.193473363894195,0.128721639513969,0.0609616413712502,0.269866794347763
"[-26,-25)",11872,23.9374831542172,23.5,5.85557761677141,29.914098173516,27.6283961187215,32.2558219178082,23.8750991821289,21.0512256622314,28.0832753181458,19.7999992370605,27.7000007629395,0.184264541891015,0.11842092871666,0.0562015287578106,0.254641771316528
"[-25,-24)",12788,23.2046254237891,22.7999992370606,5.66621958440791,29.9682077625571,27.7132420091324,32.2776255707763,23.4375,20.7031002044678,27.466299533844,19.2000007629395,26.7000007629395,0.163283595662472,0.103239797055721,0.0500295981764793,0.215307965874672
"[-24,-23)",16669,22.8379086958668,22.3999996185303,5.52068502822138,29.9735159817352,27.8117579908676,32.2776255707763,23.4375,20.7611999511719,27.1235504150391,19,26.2000007629395,0.152706658507459,0.0943505391478539,0.0479401461780071,0.199875950813293
"[-23,-22)",18825,22.5496812753563,22.1000003814697,5.35798759676189,30.0146118721461,27.7682648401827,32.2721461187215,23.1404991149902,20.7007999420166,27.1265665690104,18.7999992370605,25.8999996185303,0.143944361858332,0.08929443359375,0.0459506623446941,0.185875475406647
"[-22,-21)",17315,22.3681037639376,21.8999996185303,5.44641055788502,30.0833333333333,27.7928082191781,32.3296803652968,23.4221000671387,20.7031002044678,27.2233004570007,18.5,25.7000007629395,0.141437738608703,0.0858926624059677,0.0437122136354446,0.180401310324669
"[-21,-20)",14203,22.0704147043694,21.6000003814697,5.37422194274456,30.0501141552511,27.8204337899543,32.3027397260274,23.7387008666992,20.7031002044678,28.0403995513916,18.2999992370605,25.3499994277954,0.133995667841608,0.0819852873682976,0.0423066318035126,0.168983936309814
"[-20,-19)",11393,21.7555516523902,21.2999992370606,5.33826847938982,30.0146118721461,27.7461187214612,32.2972602739726,23.5873003005981,20.707275390625,27.8873751163483,18,25,0.127432443373084,0.0761068686842918,0.0396861284971237,0.157423704862595
"[-19,-18)",9926,21.430729064866,21,5.3217535002712,30.0172945205479,27.7608447488585,32.3077625570776,23.6340007781982,20.7031002044678,28.1109747886658,17.7000007629395,24.7000007629395,0.120558925460776,0.0709380879998207,0.0371861197054386,0.150752946734428
"[-18,-17)",11060,20.9297829979798,20.3999996185303,5.24882807700259,29.8862442922374,27.6751712328767,32.2010844748858,23.5077991485596,20.786291440328,27.9136505126953,17.2000007629395,24.1000003814697,0.110762328435128,0.0636419132351875,0.0340953841805458,0.131670996546745
"[-17,-16)",17594,20.2419518041952,19.7999992370605,4.97162259659093,29.8941780821918,27.6973173515982,32.1244006849315,23.4375,20.8208999633789,27.5872993469238,16.7000007629395,23.2000007629395,0.0955799258642476,0.0553947202861309,0.0308769010007381,0.112513281404972
"[-16,-15)",27829,19.901193004621,19.3999996185303,4.78198452694395,29.8891552511416,27.6808219178082,32.1763698630137,23.3726005554199,20.8273005485535,27.3336501121521,16.5,22.7999992370606,0.0881531588134023,0.0517804324626923,0.0298814587295055,0.101242654025555
"[-15,-14)",35339,19.6716304944237,19.1000003814697,4.71702922798073,29.9708904109589,27.7438356164384,32.2696347031964,23.3066997528076,20.7187757492065,27.0580253601074,16.2999992370605,22.3999996185303,0.0841560198015161,0.0495991818606854,0.0289967292919755,0.0961402729153633
"[-14,-13)",34662,19.666311809384,19.1000003814697,4.74652036938405,30.0151255707763,27.7661244292237,32.2778253424658,23.4375,20.7031002044678,27.3607501983643,16.2000007629395,22.3999996185303,0.0843492349398599,0.0498194433748722,0.0286800898611546,0.09588623046875
"[-13,-12)",28614,19.7099345311523,19.1000003814697,4.77075807355148,30.1058219178082,27.8010273972603,32.3872146118721,23.6651992797852,20.8684005737305,27.7176990509033,16.2999992370605,22.5,0.0854643005963036,0.0498381108045578,0.0289914384484291,0.0975797027349472
"[-12,-11)",21847,19.8406096944854,19.2999992370605,4.89559671177055,30.0666666666667,27.765696347032,32.3763127853881,23.6613998413086,20.8610992431641,27.9930000305176,16.2999992370605,22.7999992370606,0.0887285417307568,0.0515425428748131,0.0290020201355219,0.102555468678474
"[-11,-10)",17555,20.0117089161809,19.5,4.92528109218361,30.0037671232877,27.7050799086758,32.3435502283105,23.5862998962402,20.9342994689941,27.7343997955322,16.5,22.8999996185303,0.0914531394242853,0.0533302240073681,0.0300348829478025,0.106425724923611
"[-10,-9)",16571,20.1269446628166,19.7000007629395,4.92945042501423,30.0092465753425,27.7737442922374,32.311301369863,23.7332000732422,20.8208999633789,28.1625003814697,16.6000003814697,23.1000003814697,0.0932277376034527,0.0549772903323174,0.0305144162848592,0.108963295817375
"[-9,-8)",17419,20.2047936256214,19.7999992370605,4.94711502926196,30.0365296803653,27.8265410958904,32.2578196347032,23.4951992034912,20.7019500732422,27.7755498886108,16.6000003814697,23.2000007629395,0.0947461585344012,0.0556679405272007,0.0306823328137398,0.112047709524632
"[-8,-7)",18889,20.3362141953068,19.8999996185303,4.96426589299312,30.0835616438356,27.8286529680365,32.3448630136986,23.5928999582926,20.8208999633789,28.0624494552612,16.7999992370605,23.2999992370605,0.0971504468346317,0.0577072240412235,0.0317657329142094,0.11452878266573
"[-7,-6)",20761,20.522776683742,20,5.03525996803671,30.1381278538813,27.8694063926941,32.3437214611872,23.6243991851807,20.7611999511719,27.8292999267578,17,23.6000003814697,0.101084313343304,0.05931356549263,0.0328777246177197,0.120355032384396
"[-6,-5)",23597,20.7293808527628,20.2000007629395,5.05091979651076,30.0587899543379,27.8317351598174,32.2996575342466,23.6901998519897,20.8109254837036,27.8843502998352,17.1000003814697,23.7999992370606,0.104735772487968,0.0617538467049599,0.0336471758782864,0.126958429813385
"[-5,-4)",27003,20.972639464392,20.5,5.13576223675017,30.0966894977169,27.8309931506849,32.3679794520548,23.8070507049561,20.9683368206024,27.9303131103516,17.2999992370605,24.1000003814697,0.110174243823807,0.0648021399974823,0.0352316536009312,0.132915884256363
"[-4,-3)",29273,21.2608649597029,20.7999992370605,5.22991930124079,30.1488584474886,27.8711187214612,32.3487442922374,23.8754005432129,21.0480003356934,28.2283992767334,17.5,24.5,0.116672436091084,0.0688565298914909,0.0361557975411415,0.143093049526215
