week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",717,98.0174337623841,99,11.4975958172539,30.0366438356164,27.7381278538813,32.3187214611872,23.711799621582,21.2941999435425,27.7511253356934,91,103,0.554637498680809,0.497500151395798,0.285407572984695,0.809322595596314
"[-59,-58)",642,97.7328660317299,100,11.4734840808778,30.2670091324201,27.8865582191781,32.4324200913242,23.8894996643066,21.2068996429443,29.1250991821289,91,103,0.554548544667058,0.767820656299591,0.26352733373642,0.822062894701958
"[-58,-57)",643,97.4786936283853,99.9000015258789,12.0539013953162,30.1509132420091,27.8461187214612,32.1561073059361,23.8894996643066,21.5018997192383,29.7441997528076,90,103,0.54885405904583,0.513928949832916,0.253546833992004,0.817072808742523
"[-57,-56)",642,97.712772583293,99,11.3538969155898,30.1766552511416,27.7756849315069,32.4649257990868,24.9108009338379,20.9041996002197,29.5874004364014,91,102,0.545605484474555,0.492971003055573,0.268164128065109,0.807001948356628
"[-56,-55)",704,97.5809658765793,99,11.5930428093606,30.0325342465754,27.9858162100457,32.312100456621,23.4864745140076,20.8208999633789,28.6199502944946,90,103,0.54768199516746,0.497750207781792,0.249746903777123,0.819623291492462
"[-55,-54)",692,97.8420520297365,99,11.4310204695337,30.3351598173516,27.8447203196347,32.7554794520548,25,21.2383995056152,31.3527002334595,91,102,0.544522224298296,0.490050435066223,0.278774946928024,0.807001948356628
"[-54,-53)",719,98.0394529502703,99,11.3816163593617,30.3986301369863,27.7680936073059,32.6366438356164,23.4375,21.366250038147,27.4597501754761,91,102,0.552505007201929,0.495560884475708,0.280287310481071,0.804557085037231
"[-53,-52)",757,98.3281373763494,100,11.9978861981338,30.0942922374429,27.7708904109589,32.5244292237443,23.6169495582581,20.9192495346069,27.0222005844116,91,104,0.559501563549495,0.767820656299591,0.273410677909851,0.831705808639526
"[-52,-51)",767,97.97805304032,99,10.9539262594488,30.2649543378995,27.9106164383562,32.5818493150685,23.5513496398926,21.2164626121521,27.613199710846,91,103,0.556867988859471,0.569646999239922,0.268164128065109,0.812160551548004
"[-51,-50)",710,98.0254460115388,100,11.2316961510871,29.7939497716895,27.7703196347032,31.9119006849315,23.4085493087769,20.6565756797791,28.230899810791,91,104,0.562088048344417,0.767820656299591,0.278774946928024,0.835885107517242
