week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",135,3.41488888705218,3.09999990463257,0.786772040359006,29.6235159817352,27.701598173516,32.2437785388128,24.6096992492676,20.6581001281738,30.6489000320435,3,4,0.546177253554817,0.525317966938019,0.365214854478836,0.797830402851105
"[-59,-58)",131,3.39091602354559,3,0.806109787033421,30.2752283105023,27.9698630136986,32.4056506849315,24.0788993835449,20.8318753242493,28.9508256912231,3,4,0.523691696847099,0.47626194357872,0.348486334085465,0.781065106391907
"[-58,-57)",153,3.372091502146,3,0.76013213419998,29.7707762557078,27.4181506849315,32.5496575342466,23.4174499511719,20.8935008049011,28.4241752624512,3,4,0.532738407112025,0.48400428891182,0.367289155721664,0.781065106391907
"[-57,-56)",139,3.35971223536155,3,0.832816025462344,29.5981735159817,27.446404109589,31.491894977169,25.8782997131348,22.8596243858337,29.1230124235153,3,4,0.520772609162888,0.47626194357872,0.365214854478836,0.797830402851105
"[-56,-55)",132,3.29803030599247,3,0.724379643551752,29.4799086757991,27.2026255707763,31.4727739726027,25.7210006713867,21.2111829121908,29.1767501831055,3,4,0.510674204437457,0.47626194357872,0.361032724380493,0.781804114580154
"[-55,-54)",149,3.29624160664194,3,0.830744105836059,29.9328767123288,27.3245433789954,32.4672374429224,24.2002992630005,21.8299999237061,29.5524997711182,3,4,0.497036585634287,0.47626194357872,0.329999029636383,0.764563500881195
"[-54,-53)",143,3.29937062897049,3,0.801460125619709,29.2421232876712,27.0066780821918,31.9560502283105,23.4995333353678,19.7656497955322,27.421199798584,2.90000009536743,4,0.496959713320215,0.466805189847946,0.329999029636383,0.76473793387413
"[-53,-52)",139,3.12589927542982,3,0.646544668574975,29.7930365296804,27.6971461187215,32.0316780821918,24.2978579203288,22.0331249237061,28.9000744819641,2.90000009536743,3.59999990463257,0.441158232299222,0.406263828277588,0.317420721054077,0.681019991636276
"[-52,-51)",155,3.40129031827373,3.09999990463257,0.781937911651437,29.7140410958904,27.6962328767123,32.1866438356164,26.0049505233765,23.4193506240845,31.7298152106149,3,4,0.541732707283189,0.48400428891182,0.374634057283402,0.797830402851105
"[-51,-50)",152,3.43815789410942,3,0.855905409532826,29.7549657534247,27.6563356164384,31.9242865296804,24.767599105835,19.8786497116089,32.7205991744995,3,4,0.541582317875796,0.47626194357872,0.366770580410957,0.797830402851105
"[-50,-49)",152,3.18559210551412,3,0.818029238673771,29.910901826484,27.7657534246575,31.7630993150685,23.9272003173828,20.9913499355316,27.2309498786926,2.67500001192093,4,0.452808259778019,0.406263828277588,0.197934702038765,0.752051204442978
"[-49,-48)",141,3.48531914940963,3.20000004768372,0.804196629386931,29.7707762557078,27.7022831050228,32.3440639269406,25.8477506637573,22.4436502456665,30.6292243003845,3,4,0.565158501544848,0.505090951919556,0.348486334085465,0.808969855308533
"[-48,-47)",138,3.37797101857006,3,0.763374330981365,29.9694063926941,27.9592465753425,32.2526255707763,24.4707498550415,21.0534253120422,28.4108250141144,3,4,0.522862351229549,0.456768482923508,0.348486334085465,0.784021139144898
"[-47,-46)",141,3.28985815859856,3,0.812672828091445,29.4119863013699,27.9550228310502,31.7051369863014,25.6253004074097,21.9881253242493,28.9603500366211,2.90000009536743,4,0.494410890504612,0.456768482923508,0.298770248889923,0.784021139144898
"[-46,-45)",142,3.27394366096443,3,0.755188157867913,29.4765410958904,27.2960616438356,32.1150399543379,24.9134998321533,23.2363996505737,30.8046503067017,3,4,0.49902609284495,0.47626194357872,0.348486334085465,0.755086123943329
"[-45,-44)",121,3.22454545911679,3,0.747019640927371,29.2692922374429,27.4149543378995,31.5214611872146,23.5159492492676,21.8554253578186,28.8476257324219,3,3.79999995231628,0.483679370092582,0.456768482923508,0.365214854478836,0.715297341346741
"[-44,-43)",127,3.26062991863161,3,0.740753313318364,29.5108447488584,26.9411529680365,32.8684931506849,24.563099861145,20.7185916900635,26.9466753005981,3,3.82499992847443,0.489056836901687,0.456768482923508,0.329999029636383,0.758034408092499
